wpi_number,port_name,alternate_name,un_locode,country,latitude_deg,longitude_deg
23500,Rekefjord,,NO REK,Norway,58.325833,6.258333
23503,Jossingfjord,,NOJOS,Norway,58.314907,6.333205
23505,Kirkehamn,Kirkjehamn,NO KIR,Norway,58.231389,6.527222
23510,Flekkefjorden,,NO FFD,Norway,58.264167,6.655278
23520,Farsund,,NO FAN,Norway,58.084667,6.795333
23525,Stusvik,,,Norway,58.004444,7.034167
23530,Mandal,,NO MAN,Norway,58.016667,7.466667
23550,Kristiansand,,NO KRS,Norway,58.138889,8.012778
23600,Arendal,,NO ARE,Norway,58.453889,8.776944
23620,Tvedestrand,,NO TVE,Norway,58.611667,8.942500
23630,Risor,,NO RIS,Norway,58.721944,9.245278
23640,Kragero,,NO KRA,Norway,58.863611,9.413056
23870,Stromstad,Stroemstad,SE SMD,Sweden,58.933333,11.166667
23890,Grebbestad,,SE GRE,Sweden,58.676944,11.247778
23900,Fjallbacka,,SE FJA,Sweden,58.600278,11.277222
23905,Bovallstrand,,SE BLD,Sweden,58.483333,11.333333
23910,Hunnebostrand,,SE HUN,Sweden,58.437778,11.286111
23950,Brofjorden,,SE BRO,Sweden,58.360278,11.421111
23970,Lysekil,,SE LYS,Sweden,58.271389,11.444167
23990,Uddevalla,,SE UDD,Sweden,58.334722,11.877500
24000,Stenungsund,,SE STE,Sweden,58.079722,11.800000
24010,Marstrand,,SE MSD,Sweden,57.883889,11.588333
24020,Goteborg,Gothenburg,SE GOT,Sweden,57.709722,11.954722
24030,Varberg,,SE VAG,Sweden,57.108889,12.232500
24040,Falkenberg,,SE FAG,Sweden,56.881667,12.466111
24050,Halmstad,,SE HAD,Sweden,56.666667,12.866667
24100,Hoganas,,SE HOG,Sweden,56.196667,12.544722
24120,Helsingborg,,SE HEL,Sweden,56.035278,12.687778
24180,Landskrona,,SE LAA,Sweden,55.859722,12.826667
24210,Malmo,,SE MMA,Sweden,55.623333,12.984722
24220,Limhamn,,SE LIM,Sweden,55.591111,12.918333
24250,Trelleborg,,SE TRG,Sweden,55.360000,13.150556
24260,Ystad,,SE YST,Sweden,55.418333,13.818056
24280,Simrishamn,,SE SIM,Sweden,55.558333,14.358056
24300,Ahus,,SE AHU,Sweden,55.927500,14.328056
24310,Solvesborg,,SE SOL,Sweden,56.045556,14.586389
24370,Karlshamn,,SE KAN,Sweden,56.152778,14.869167
28750,Police,,PL PLC,Poland,53.566667,14.566667
28820,Swinoujscie,Swinemunde,PL SWI,Poland,53.916667,14.266667
28823,Szczecin,Stettin,PL SZZ,Poland,53.416667,14.550000
28828,Wolgast,,DE WOL,Germany,54.050000,13.783333
28840,Sassnitz,,DE SAS,Germany,54.516667,13.650000
28848,Stralsund,,DE STL,Germany,54.316667,13.100000
28860,Rostock,,DE RSK,Germany,54.100000,12.133333
28870,Wismar,,DE WIS,Germany,53.900000,11.466667
28880,Lubeck-Travemunde,,DE TRV,Germany,53.966667,10.883333
28890,Lubeck,,DE LBC,Germany,53.883333,10.700000
28900,Neustadt,,DE NGL,Germany,54.100000,10.816667
28912,Orth,,DE ORT,Germany,54.450000,11.050000
28920,Heiligenhafen,,DE HHF,Germany,54.366667,10.983333
28930,Kiel,,DE KEL,Germany,54.316667,10.133333
28950,Eckernforde,,DE ECK,Germany,54.483333,9.833333
28955,Kappeln,,DE KAP,Germany,54.666667,9.933333
29005,Flensburg,,DE FLF,Germany,54.800000,9.433333
29110,Ronne,,DK RNN,Denmark,55.100000,14.700000
